    0.10000E-03    0.44392E+03
    0.10202E-03    0.45256E+03
    0.10408E-03    0.46137E+03
    0.10618E-03    0.47035E+03
    0.10833E-03    0.47951E+03
    0.11052E-03    0.48884E+03
    0.11275E-03    0.49836E+03
    0.11503E-03    0.50806E+03
    0.11735E-03    0.51795E+03
    0.11972E-03    0.52803E+03
    0.12214E-03    0.53830E+03
    0.12461E-03    0.54878E+03
    0.12712E-03    0.55946E+03
    0.12969E-03    0.57035E+03
    0.13231E-03    0.58145E+03
    0.13499E-03    0.59276E+03
    0.13771E-03    0.60430E+03
    0.14049E-03    0.61606E+03
    0.14333E-03    0.62805E+03
    0.14623E-03    0.64027E+03
    0.14918E-03    0.65272E+03
    0.15220E-03    0.66542E+03
    0.15527E-03    0.67837E+03
    0.15841E-03    0.69157E+03
    0.16161E-03    0.70502E+03
    0.16487E-03    0.71873E+03
    0.16820E-03    0.73271E+03
    0.17160E-03    0.74696E+03
    0.17507E-03    0.76149E+03
    0.17860E-03    0.77630E+03
    0.18221E-03    0.79140E+03
    0.18589E-03    0.80679E+03
    0.18965E-03    0.82247E+03
    0.19348E-03    0.83846E+03
    0.19739E-03    0.85477E+03
    0.20138E-03    0.87138E+03
    0.20544E-03    0.88832E+03
    0.20959E-03    0.90559E+03
    0.21383E-03    0.92319E+03
    0.21815E-03    0.94113E+03
    0.22255E-03    0.95942E+03
    0.22705E-03    0.97806E+03
    0.23164E-03    0.99706E+03
    0.23632E-03    0.10164E+04
    0.24109E-03    0.10362E+04
    0.24596E-03    0.10563E+04
    0.25093E-03    0.10768E+04
    0.25600E-03    0.10977E+04
    0.26117E-03    0.11190E+04
    0.26645E-03    0.11408E+04
    0.27183E-03    0.11629E+04
    0.27732E-03    0.11855E+04
    0.28292E-03    0.12085E+04
    0.28864E-03    0.12319E+04
    0.29447E-03    0.12558E+04
    0.30042E-03    0.12802E+04
    0.30649E-03    0.13050E+04
    0.31268E-03    0.13303E+04
    0.31899E-03    0.13561E+04
    0.32544E-03    0.13824E+04
    0.33201E-03    0.14092E+04
    0.33872E-03    0.14365E+04
    0.34556E-03    0.14643E+04
    0.35254E-03    0.14927E+04
    0.35966E-03    0.15216E+04
    0.36693E-03    0.15510E+04
    0.37434E-03    0.15810E+04
    0.38190E-03    0.16116E+04
    0.38962E-03    0.16428E+04
    0.39749E-03    0.16746E+04
    0.40552E-03    0.17070E+04
    0.41371E-03    0.17399E+04
    0.42207E-03    0.17736E+04
    0.43060E-03    0.18078E+04
    0.43929E-03    0.18427E+04
    0.44817E-03    0.18783E+04
    0.45722E-03    0.19146E+04
    0.46646E-03    0.19515E+04
    0.47588E-03    0.19891E+04
    0.48550E-03    0.20275E+04
    0.49530E-03    0.20666E+04
    0.50531E-03    0.21064E+04
    0.51552E-03    0.21469E+04
    0.52593E-03    0.21883E+04
    0.53656E-03    0.22304E+04
    0.54739E-03    0.22733E+04
    0.55845E-03    0.23170E+04
    0.56973E-03    0.23615E+04
    0.58124E-03    0.24068E+04
    0.59299E-03    0.24530E+04
    0.60496E-03    0.25001E+04
    0.61719E-03    0.25480E+04
    0.62965E-03    0.25969E+04
    0.64237E-03    0.26466E+04
    0.65535E-03    0.26973E+04
    0.66859E-03    0.27489E+04
    0.68210E-03    0.28014E+04
    0.69588E-03    0.28550E+04
    0.70993E-03    0.29095E+04
    0.72427E-03    0.29650E+04
    0.73891E-03    0.30215E+04
    0.75383E-03    0.30791E+04
    0.76906E-03    0.31377E+04
    0.78460E-03    0.31974E+04
    0.80045E-03    0.32582E+04
    0.81662E-03    0.33201E+04
    0.83311E-03    0.33831E+04
    0.84994E-03    0.34473E+04
    0.86711E-03    0.35126E+04
    0.88463E-03    0.35791E+04
    0.90250E-03    0.36468E+04
    0.92073E-03    0.37157E+04
    0.93933E-03    0.37858E+04
    0.95831E-03    0.38572E+04
    0.97767E-03    0.39299E+04
    0.99742E-03    0.40038E+04
    0.10176E-02    0.40791E+04
    0.10381E-02    0.41557E+04
    0.10591E-02    0.42336E+04
    0.10805E-02    0.43129E+04
    0.11023E-02    0.43936E+04
    0.11246E-02    0.44757E+04
    0.11473E-02    0.45592E+04
    0.11705E-02    0.46442E+04
    0.11941E-02    0.47306E+04
    0.12182E-02    0.48185E+04
    0.12429E-02    0.49079E+04
    0.12680E-02    0.49989E+04
    0.12936E-02    0.50914E+04
    0.13197E-02    0.51854E+04
    0.13464E-02    0.52810E+04
    0.13736E-02    0.53783E+04
    0.14013E-02    0.54771E+04
    0.14296E-02    0.55776E+04
    0.14585E-02    0.56798E+04
    0.14880E-02    0.57836E+04
    0.15180E-02    0.58891E+04
    0.15487E-02    0.59964E+04
    0.15800E-02    0.61053E+04
    0.16119E-02    0.62161E+04
    0.16445E-02    0.63286E+04
    0.16777E-02    0.64428E+04
    0.17116E-02    0.65589E+04
    0.17462E-02    0.66768E+04
    0.17814E-02    0.67966E+04
    0.18174E-02    0.69182E+04
    0.18541E-02    0.70416E+04
    0.18916E-02    0.71670E+04
    0.19298E-02    0.72942E+04
    0.19688E-02    0.74234E+04
    0.20086E-02    0.75544E+04
    0.20491E-02    0.76874E+04
    0.20905E-02    0.78224E+04
    0.21328E-02    0.79593E+04
    0.21758E-02    0.80982E+04
    0.22198E-02    0.82391E+04
    0.22646E-02    0.83819E+04
    0.23104E-02    0.85268E+04
    0.23571E-02    0.86737E+04
    0.24047E-02    0.88225E+04
    0.24533E-02    0.89734E+04
    0.25028E-02    0.91263E+04
    0.25534E-02    0.92813E+04
    0.26050E-02    0.94382E+04
