  0.134941E-02  0.195317E+08  0.195283E+08  0.366501E+06  0.355569E+06  0.189623E+08  0.195286E+08
  0.149001E-02  0.194784E+08  0.194750E+08  0.243712E+06  0.223541E+06  0.188019E+08  0.194749E+08
  0.164527E-02  0.194172E+08  0.194137E+08  0.224729E+06  0.000000E+00  0.186179E+08  0.194131E+08
  0.181670E-02  0.193470E+08  0.193435E+08  0.181455E+06  0.000000E+00  0.184088E+08  0.193423E+08
  0.200600E-02  0.192669E+08  0.192633E+08  0.849459E+05  0.000000E+00  0.181731E+08  0.192614E+08
  0.221503E-02  0.191755E+08  0.191720E+08  0.522823E+05  0.000000E+00  0.179101E+08  0.191693E+08
  0.244583E-02  0.190718E+08  0.190682E+08  0.620923E+05  0.000000E+00  0.176194E+08  0.190647E+08
  0.270068E-02  0.189545E+08  0.189508E+08  0.241785E+05  0.000000E+00  0.173007E+08  0.189465E+08
  0.298209E-02  0.188224E+08  0.188185E+08  0.220731E+05  0.000000E+00  0.169541E+08  0.188134E+08
  0.329282E-02  0.186741E+08  0.186700E+08  0.102921E+05  0.000000E+00  0.165791E+08  0.186640E+08
  0.363593E-02  0.185083E+08  0.185039E+08  0.395739E+04  0.000000E+00  0.161750E+08  0.184972E+08
  0.401479E-02  0.183238E+08  0.183191E+08 -0.474076E+04  0.000000E+00  0.157405E+08  0.183115E+08
  0.443312E-02  0.181191E+08  0.181142E+08  0.217145E+04  0.000000E+00  0.152743E+08  0.181056E+08
  0.489505E-02  0.178931E+08  0.178877E+08 -0.577433E+03  0.000000E+00  0.147772E+08  0.178783E+08
  0.540511E-02  0.176442E+08  0.176384E+08 -0.358227E+04  0.000000E+00  0.142490E+08  0.176281E+08
  0.596832E-02  0.173718E+08  0.173653E+08 -0.208752E+04  0.000000E+00  0.136684E+08  0.173541E+08
  0.659021E-02  0.170733E+08  0.170662E+08 -0.246953E+04  0.000000E+00  0.130656E+08  0.170542E+08
  0.727690E-02  0.167481E+08  0.167400E+08 -0.208588E+04  0.000000E+00  0.124290E+08  0.167274E+08
  0.803514E-02  0.163943E+08  0.163852E+08 -0.266601E+04  0.000000E+00  0.117660E+08  0.163721E+08
  0.887240E-02  0.160111E+08  0.160008E+08 -0.218519E+04  0.000000E+00  0.110859E+08  0.159874E+08
  0.979689E-02  0.155972E+08  0.155855E+08 -0.151460E+04  0.000000E+00  0.103890E+08  0.155720E+08
  0.108177E-01  0.151513E+08  0.151378E+08 -0.167973E+04  0.000000E+00  0.967520E+07  0.151246E+08
  0.119449E-01  0.146720E+08  0.146565E+08 -0.141295E+04  0.000000E+00  0.895034E+07  0.146439E+08
