    38    0.11980E+04    0.18742E+01    0.28078E-04    0.18742E+01    0.48055E-01   -0.85266E-08    0.28078E-04   -0.85266E-08    0.98032E-10
    39    0.12163E+04    0.18251E+01    0.26760E-04    0.18251E+01    0.52437E-01   -0.65509E-08    0.26760E-04   -0.65509E-08    0.92992E-10
    40    0.12346E+04    0.17674E+01    0.25531E-04    0.17674E+01    0.57081E-01   -0.55469E-08    0.25531E-04   -0.55469E-08    0.88300E-10
    41    0.12531E+04    0.17020E+01    0.24373E-04    0.17020E+01    0.62009E-01   -0.44586E-08    0.24373E-04   -0.44586E-08    0.83921E-10
    42    0.12717E+04    0.16274E+01    0.23279E-04    0.16274E+01    0.67225E-01   -0.32394E-08    0.23279E-04   -0.32394E-08    0.79833E-10
    43    0.12904E+04    0.15412E+01    0.22248E-04    0.15412E+01    0.72727E-01   -0.20946E-08    0.22248E-04   -0.20946E-08    0.76012E-10
    44    0.13090E+04    0.14421E+01    0.21277E-04    0.14421E+01    0.78500E-01   -0.12298E-08    0.21277E-04   -0.12298E-08    0.72437E-10
    45    0.13280E+04    0.13288E+01    0.20363E-04    0.13288E+01    0.84536E-01   -0.85031E-09    0.20363E-04   -0.85031E-09    0.69086E-10
    46    0.13474E+04    0.11986E+01    0.19504E-04    0.11986E+01    0.90836E-01   -0.11011E-08    0.19504E-04   -0.11011E-08    0.65939E-10
    47    0.13668E+04    0.10531E+01    0.18695E-04    0.10531E+01    0.97400E-01   -0.18852E-08    0.18695E-04   -0.18852E-08    0.62982E-10
    48    0.13863E+04    0.89755E+00    0.17932E-04    0.89755E+00    0.10424E+00   -0.30449E-08    0.17932E-04   -0.30449E-08    0.60201E-10
    49    0.14060E+04    0.73672E+00    0.17208E-04    0.73672E+00    0.11134E+00   -0.44228E-08    0.17208E-04   -0.44228E-08    0.57584E-10
    50    0.14260E+04    0.56854E+00    0.16520E-04    0.56854E+00    0.11869E+00   -0.58613E-08    0.16520E-04   -0.58613E-08    0.55117E-10
    51    0.14463E+04    0.38921E+00    0.15862E-04    0.38921E+00    0.12625E+00   -0.72107E-08    0.15862E-04   -0.72107E-08    0.52790E-10
    52    0.14669E+04    0.19360E+00    0.15235E-04    0.19360E+00    0.13412E+00   -0.83522E-08    0.15235E-04   -0.83522E-08    0.50591E-10
    53    0.14875E+04   -0.21884E-01    0.14640E-04   -0.21884E-01    0.14244E+00   -0.91749E-08    0.14640E-04   -0.91749E-08    0.48515E-10
    54    0.15080E+04   -0.25289E+00    0.14077E-04   -0.25289E+00    0.15118E+00   -0.95679E-08    0.14077E-04   -0.95679E-08    0.46551E-10
    55    0.15287E+04   -0.49493E+00    0.13547E-04   -0.49493E+00    0.16034E+00   -0.94204E-08    0.13547E-04   -0.94204E-08    0.44692E-10
    56    0.15497E+04   -0.74967E+00    0.13050E-04   -0.74967E+00    0.16976E+00   -0.86753E-08    0.13050E-04   -0.86753E-08    0.42929E-10
    57    0.15710E+04   -0.10170E+01    0.12584E-04   -0.10170E+01    0.17933E+00   -0.74913E-08    0.12584E-04   -0.74913E-08    0.41258E-10
    58    0.15927E+04   -0.12976E+01    0.12143E-04   -0.12976E+01    0.18907E+00   -0.60809E-08    0.12143E-04   -0.60809E-08    0.39672E-10
